"","ecoregion","province","realm","eco_type"
"116","Altai alpine meadow and tundra","Palearctic Montane Grasslands and Shrublands","Palearctic","terrestrial"
"117","Khangai Mountains conifer forests","Palearctic Temperate Conifer Forests","Palearctic","terrestrial"
"118","Newfoundland Highland forests","Nearctic Boreal Forests/Taiga","Nearctic","terrestrial"
"119","Khangai Mountains alpine meadow","Palearctic Montane Grasslands and Shrublands","Palearctic","terrestrial"
"120","Tenasserim-South Thailand semi-evergreen rain forests","Indomalayan Tropical and Subtropical Moist Broadleaf Forests","Indomalayan","terrestrial"
"121","Myanmar coastal rain forests","Indomalayan Tropical and Subtropical Moist Broadleaf Forests","Indomalayan","terrestrial"
"122","Ethiopian xeric grasslands and shrublands","Afrotropical Deserts and Xeric Shrublands","Afrotropical","terrestrial"
"123","Palawan rain forests","Indomalayan Tropical and Subtropical Moist Broadleaf Forests","Indomalayan","terrestrial"
"124","Eastern Micronesia tropical moist forests","Oceanian Tropical and Subtropical Moist Broadleaf Forests","Oceanian","terrestrial"
"125","Ethiopian montane moorlands","Afrotropical Montane Grasslands and Shrublands","Afrotropical","terrestrial"
"126","Mindanao-Eastern Visayas rain forests","Indomalayan Tropical and Subtropical Moist Broadleaf Forests","Indomalayan","terrestrial"
"127","Ethiopian montane forests","Afrotropical Tropical and Subtropical Moist Broadleaf Forests","Afrotropical","terrestrial"
"128","Eastern Guinean forests","Afrotropical Tropical and Subtropical Moist Broadleaf Forests","Afrotropical","terrestrial"
"129","Greater Negros-Panay rain forests","Indomalayan Tropical and Subtropical Moist Broadleaf Forests","Indomalayan","terrestrial"
"130","Cordillera Central páramo","Neotropical Montane Grasslands and Shrublands","Neotropical","terrestrial"
"131","Guianan freshwater swamp forests","Neotropical Tropical and Subtropical Moist Broadleaf Forests","Neotropical","terrestrial"
"132","Scandinavian Montane Birch forest and grasslands","Palearctic Tundra","Palearctic","terrestrial"
"133","Baffin coastal tundra","Nearctic Tundra","Nearctic","terrestrial"
"134","Kalaallit Nunaat high arctic tundra","Nearctic Tundra","Nearctic","terrestrial"
"135","Arctic coastal tundra","Nearctic Tundra","Nearctic","terrestrial"
"136","Yamal-Gydan tundra","Palearctic Tundra","Palearctic","terrestrial"
"137","Hispaniolan pine forests","Neotropical Tropical and Subtropical Coniferous Forests","Neotropical","terrestrial"
"138","Magdalena Valley montane forests","Neotropical Tropical and Subtropical Moist Broadleaf Forests","Neotropical","terrestrial"
