"","ecoregion","province","realm","eco_type"
"528","Southwest Iberian Mediterranean sclerophyllous and mixed forests","Palearctic Mediterranean Forests, Woodlands and Scrub","Palearctic","terrestrial"
"529","California Central Valley grasslands","Nearctic Temperate Grasslands, Savannas and Shrublands","Nearctic","terrestrial"
"530","Ordos Plateau steppe","Palearctic Montane Grasslands and Shrublands","Palearctic","terrestrial"
"531","Central Anatolian steppe and woodlands","Palearctic Temperate Broadleaf & Mixed Forests","Palearctic","terrestrial"
"532","Eastern Anatolian deciduous forests","Palearctic Temperate Broadleaf & Mixed Forests","Palearctic","terrestrial"
"533","Central Korean deciduous forests","Palearctic Temperate Broadleaf & Mixed Forests","Palearctic","terrestrial"
"534","Huang He Plain mixed forests","Palearctic Temperate Broadleaf & Mixed Forests","Palearctic","terrestrial"
"535","Central U.S. hardwood forests","Nearctic Temperate Broadleaf & Mixed Forests","Nearctic","terrestrial"
"536","Qilian Mountains subalpine meadows","Palearctic Montane Grasslands and Shrublands","Palearctic","terrestrial"
"537","Southeastern mixed forests","Nearctic Temperate Broadleaf & Mixed Forests","Nearctic","terrestrial"
"538","Flint Hills tall grasslands","Nearctic Temperate Grasslands, Savannas and Shrublands","Nearctic","terrestrial"
"539","Helanshan montane conifer forests","Palearctic Temperate Conifer Forests","Palearctic","terrestrial"
"540","Qaidam Basin semi-desert","Palearctic Deserts and Xeric Shrublands","Palearctic","terrestrial"
"541","Kopet Dag semi-desert","Palearctic Deserts and Xeric Shrublands","Palearctic","terrestrial"
"542","North Tibetan Plateau-Kunlun Mountains alpine desert","Palearctic Montane Grasslands and Shrublands","Palearctic","terrestrial"
"543","Badghyz and Karabil semi-desert","Palearctic Deserts and Xeric Shrublands","Palearctic","terrestrial"
"544","Zagros Mountains forest steppe","Palearctic Temperate Broadleaf & Mixed Forests","Palearctic","terrestrial"
"545","Paropamisus xeric woodlands","Palearctic Deserts and Xeric Shrublands","Palearctic","terrestrial"
"546","Mojave desert","Nearctic Deserts and Xeric Shrublands","Nearctic","terrestrial"
"547","Southeastern Iberian shrubs and woodlands","Palearctic Mediterranean Forests, Woodlands and Scrub","Palearctic","terrestrial"
"548","Central Persian desert basins","Palearctic Deserts and Xeric Shrublands","Palearctic","terrestrial"
"549","Yellow Sea saline meadow","Palearctic Flooded Grasslands and Savannas","Palearctic","terrestrial"
"550","Qin Ling Mountains deciduous forests","Palearctic Temperate Broadleaf & Mixed Forests","Palearctic","terrestrial"
"551","Nile Delta flooded savanna","Palearctic Flooded Grasslands and Savannas","Palearctic","terrestrial"
"552","Changjiang Plain evergreen forests","Palearctic Temperate Broadleaf & Mixed Forests","Palearctic","terrestrial"
"553","Indus Valley desert","Indomalayan Deserts and Xeric Shrublands","Indomalayan","terrestrial"
"554","North Saharan steppe and woodlands","Palearctic Deserts and Xeric Shrublands","Palearctic","terrestrial"
"555","Tigris-Euphrates alluvial salt marsh","Palearctic Flooded Grasslands and Savannas","Palearctic","terrestrial"
"556","Red Sea Nubo-Sindian tropical desert and semi-desert","Palearctic Deserts and Xeric Shrublands","Palearctic","terrestrial"
"557","Jian Nan subtropical evergreen forests","Indomalayan Tropical and Subtropical Moist Broadleaf Forests","Indomalayan","terrestrial"
"558","Al Hajar montane woodlands","Afrotropical Temperate Grasslands, Savannas and Shrublands","Afrotropical","terrestrial"
"559","Central Polynesian tropical moist forests","Oceanian Tropical and Subtropical Moist Broadleaf Forests","Oceanian","terrestrial"
"560","Western Congolian swamp forests","Afrotropical Tropical and Subtropical Moist Broadleaf Forests","Afrotropical","terrestrial"
"561","Peninsular Malaysian peat swamp forests","Indomalayan Tropical and Subtropical Moist Broadleaf Forests","Indomalayan","terrestrial"
"562","Tongan tropical moist forests","Oceanian Tropical and Subtropical Moist Broadleaf Forests","Oceanian","terrestrial"
"563","Pilbara shrublands","Australian Deserts and Xeric Shrublands","Australian","terrestrial"
"564","Vogelkop-Aru lowland rain forests","Australian Tropical and Subtropical Moist Broadleaf Forests","Australian","terrestrial"
"565","Southern Annamites montane rain forests","Indomalayan Tropical and Subtropical Moist Broadleaf Forests","Indomalayan","terrestrial"
"566","Palau tropical moist forests","Oceanian Tropical and Subtropical Moist Broadleaf Forests","Oceanian","terrestrial"
"567","Sumatran lowland rain forests","Indomalayan Tropical and Subtropical Moist Broadleaf Forests","Indomalayan","terrestrial"
"568","Mississippi lowland forests","Nearctic Temperate Broadleaf & Mixed Forests","Nearctic","terrestrial"
"569","Tibetan Plateau alpine shrublands and meadows","Palearctic Montane Grasslands and Shrublands","Palearctic","terrestrial"
"570","Ozark Mountain forests","Nearctic Temperate Broadleaf & Mixed Forests","Nearctic","terrestrial"
"571","Piney Woods forests","Nearctic Temperate Conifer Forests","Nearctic","terrestrial"
"572","Cape Verde Islands dry forests","Afrotropical Tropical and Subtropical Dry Broadleaf Forests","Afrotropical","terrestrial"
"573","East Sudanian savanna","Afrotropical Tropical and Subtropical Grasslands, Savannas and Shrublands","Afrotropical","terrestrial"
"574","Chao Phraya lowland moist deciduous forests","Indomalayan Tropical and Subtropical Moist Broadleaf Forests","Indomalayan","terrestrial"
"575","Nicobar Islands rain forests","Indomalayan Tropical and Subtropical Moist Broadleaf Forests","Indomalayan","terrestrial"
"576","Western Polynesian tropical moist forests","Oceanian Tropical and Subtropical Moist Broadleaf Forests","Oceanian","terrestrial"
"577","Victoria Basin forest-savanna mosaic","Afrotropical Tropical and Subtropical Grasslands, Savannas and Shrublands","Afrotropical","terrestrial"
"578","Sulawesi montane rain forests","Australian Tropical and Subtropical Moist Broadleaf Forests","Australian","terrestrial"
"579","Southern Acacia-Commiphora bushlands and thickets","Afrotropical Tropical and Subtropical Grasslands, Savannas and Shrublands","Afrotropical","terrestrial"
"580","Western Congolian forest-savanna mosaic","Afrotropical Tropical and Subtropical Grasslands, Savannas and Shrublands","Afrotropical","terrestrial"
"581","Texas blackland prairies","Nearctic Temperate Grasslands, Savannas and Shrublands","Nearctic","terrestrial"
"582","Arabian Desert and East Sahero-Arabian xeric shrublands","Palearctic Deserts and Xeric Shrublands","Palearctic","terrestrial"
"583","Daba Mountains evergreen forests","Palearctic Temperate Broadleaf & Mixed Forests","Palearctic","terrestrial"
"584","Registan-North Pakistan sandy desert","Palearctic Deserts and Xeric Shrublands","Palearctic","terrestrial"
"585","Sierra Juarez and San Pedro Martir pine-oak forests","Nearctic Temperate Conifer Forests","Nearctic","terrestrial"
"586","Nujiang Langcang Gorge alpine conifer and mixed forests","Palearctic Temperate Conifer Forests","Palearctic","terrestrial"
"587","Hengduan Mountains subalpine conifer forests","Palearctic Temperate Conifer Forests","Palearctic","terrestrial"
"588","Bermuda subtropical conifer forests","Nearctic Tropical and Subtropical Coniferous Forests","Nearctic","terrestrial"
"589","Sichuan Basin evergreen broadleaf forests","Palearctic Temperate Broadleaf & Mixed Forests","Palearctic","terrestrial"
"590","Guizhou Plateau broadleaf and mixed forests","Palearctic Tropical and Subtropical Moist Broadleaf Forests","Palearctic","terrestrial"
"591","Irrawaddy moist deciduous forests","Indomalayan Tropical and Subtropical Moist Broadleaf Forests","Indomalayan","terrestrial"
"592","Irrawaddy freshwater swamp forests","Indomalayan Tropical and Subtropical Moist Broadleaf Forests","Indomalayan","terrestrial"
"593","Irrawaddy dry forests","Indomalayan Tropical and Subtropical Dry Broadleaf Forests","Indomalayan","terrestrial"
"594","Chao Phraya freshwater swamp forests","Indomalayan Tropical and Subtropical Moist Broadleaf Forests","Indomalayan","terrestrial"
"595","Inner Niger Delta flooded savanna","Afrotropical Flooded Grasslands and Savannas","Afrotropical","terrestrial"
"596","Arabian Peninsula coastal fog desert","Afrotropical Deserts and Xeric Shrublands","Afrotropical","terrestrial"
"597","Southeastern Indochina dry evergreen forests","Indomalayan Tropical and Subtropical Dry Broadleaf Forests","Indomalayan","terrestrial"
"598","Somali montane xeric woodlands","Afrotropical Deserts and Xeric Shrublands","Afrotropical","terrestrial"
"599","Mindanao montane rain forests","Indomalayan Tropical and Subtropical Moist Broadleaf Forests","Indomalayan","terrestrial"
"600","Northeastern Himalayan subalpine conifer forests","Palearctic Temperate Conifer Forests","Palearctic","terrestrial"
"601","Upper Gangetic Plains moist deciduous forests","Indomalayan Tropical and Subtropical Moist Broadleaf Forests","Indomalayan","terrestrial"
"602","Sahara desert","Palearctic Deserts and Xeric Shrublands","Palearctic","terrestrial"
"603","Thar desert","Indomalayan Deserts and Xeric Shrublands","Indomalayan","terrestrial"
"604","Tamaulipan mezquital","Nearctic Deserts and Xeric Shrublands","Nearctic","terrestrial"
"605","Yunnan Plateau subtropical evergreen forests","Palearctic Tropical and Subtropical Moist Broadleaf Forests","Palearctic","terrestrial"
"606","Khathiar-Gir dry deciduous forests","Indomalayan Tropical and Subtropical Dry Broadleaf Forests","Indomalayan","terrestrial"
"607","Brahmaputra Valley semi-evergreen forests","Indomalayan Tropical and Subtropical Moist Broadleaf Forests","Indomalayan","terrestrial"
"608","Northern Triangle temperate forests","Indomalayan Temperate Broadleaf & Mixed Forests","Indomalayan","terrestrial"
"609","Northern Triangle subtropical forests","Indomalayan Tropical and Subtropical Moist Broadleaf Forests","Indomalayan","terrestrial"
"610","Lower Gangetic Plains moist deciduous forests","Indomalayan Tropical and Subtropical Moist Broadleaf Forests","Indomalayan","terrestrial"
"611","Northern Indochina subtropical forests","Indomalayan Tropical and Subtropical Moist Broadleaf Forests","Indomalayan","terrestrial"
"612","Mizoram-Manipur-Kachin rain forests","Indomalayan Tropical and Subtropical Moist Broadleaf Forests","Indomalayan","terrestrial"
"613","Meghalaya subtropical forests","Indomalayan Tropical and Subtropical Moist Broadleaf Forests","Indomalayan","terrestrial"
"614","Gulf of Oman desert and semi-desert","Afrotropical Deserts and Xeric Shrublands","Afrotropical","terrestrial"
"615","Meseta Central matorral","Nearctic Deserts and Xeric Shrublands","Nearctic","terrestrial"
"616","Narmada Valley dry deciduous forests","Indomalayan Tropical and Subtropical Dry Broadleaf Forests","Indomalayan","terrestrial"
"617","Taiwan subtropical evergreen forests","Indomalayan Tropical and Subtropical Moist Broadleaf Forests","Indomalayan","terrestrial"
"618","Chhota-Nagpur dry deciduous forests","Indomalayan Tropical and Subtropical Dry Broadleaf Forests","Indomalayan","terrestrial"
"619","Southwestern Arabian foothills savanna","Afrotropical Deserts and Xeric Shrublands","Afrotropical","terrestrial"
"620","Rann of Kutch seasonal salt marsh","Indomalayan Flooded Grasslands and Savannas","Indomalayan","terrestrial"
"621","Chin Hills-Arakan Yoma montane forests","Indomalayan Tropical and Subtropical Moist Broadleaf Forests","Indomalayan","terrestrial"
"622","Eastern highlands moist deciduous forests","Indomalayan Tropical and Subtropical Moist Broadleaf Forests","Indomalayan","terrestrial"
"623","Sundarbans freshwater swamp forests","Indomalayan Tropical and Subtropical Moist Broadleaf Forests","Indomalayan","terrestrial"
"624","Central Mexican matorral","Nearctic Deserts and Xeric Shrublands","Nearctic","terrestrial"
"625","South Saharan steppe and woodlands","Palearctic Deserts and Xeric Shrublands","Palearctic","terrestrial"
"626","South Taiwan monsoon rain forests","Indomalayan Tropical and Subtropical Moist Broadleaf Forests","Indomalayan","terrestrial"
"627","Southwestern Arabian montane woodlands","Afrotropical Deserts and Xeric Shrublands","Afrotropical","terrestrial"
"628","Northern dry deciduous forests","Indomalayan Tropical and Subtropical Dry Broadleaf Forests","Indomalayan","terrestrial"
"629","North Western Ghats moist deciduous forests","Indomalayan Tropical and Subtropical Moist Broadleaf Forests","Indomalayan","terrestrial"
"630","Central Deccan Plateau dry deciduous forests","Indomalayan Tropical and Subtropical Dry Broadleaf Forests","Indomalayan","terrestrial"
"631","Red River freshwater swamp forests","Indomalayan Tropical and Subtropical Moist Broadleaf Forests","Indomalayan","terrestrial"
"632","Orissa semi-evergreen forests","Indomalayan Tropical and Subtropical Moist Broadleaf Forests","Indomalayan","terrestrial"
"633","Kayah-Karen montane rain forests","Indomalayan Tropical and Subtropical Moist Broadleaf Forests","Indomalayan","terrestrial"
"634","Sahelian Acacia savanna","Afrotropical Tropical and Subtropical Grasslands, Savannas and Shrublands","Afrotropical","terrestrial"
"635","Hawaii tropical high shrublands","Oceanian Tropical and Subtropical Grasslands, Savannas and Shrublands","Oceanian","terrestrial"
"636","Hainan Island monsoon rain forests","Indomalayan Tropical and Subtropical Moist Broadleaf Forests","Indomalayan","terrestrial"
"637","Northern Thailand-Laos moist deciduous forests","Indomalayan Tropical and Subtropical Moist Broadleaf Forests","Indomalayan","terrestrial"
"638","Northern Vietnam lowland rain forests","Indomalayan Tropical and Subtropical Moist Broadleaf Forests","Indomalayan","terrestrial"
"639","Northern Annamites rain forests","Indomalayan Tropical and Subtropical Moist Broadleaf Forests","Indomalayan","terrestrial"
"640","Northern Khorat Plateau moist deciduous forests","Indomalayan Tropical and Subtropical Moist Broadleaf Forests","Indomalayan","terrestrial"
"641","Admiralty Islands lowland rain forests","Australian Tropical and Subtropical Moist Broadleaf Forests","Australian","terrestrial"
"642","East African halophytics","Afrotropical Flooded Grasslands and Savannas","Afrotropical","terrestrial"
"643","Masai xeric grasslands and shrublands","Afrotropical Deserts and Xeric Shrublands","Afrotropical","terrestrial"
"644","Somali Acacia-Commiphora bushlands and thickets","Afrotropical Tropical and Subtropical Grasslands, Savannas and Shrublands","Afrotropical","terrestrial"
"645","Luzon tropical pine forests","Indomalayan Tropical and Subtropical Coniferous Forests","Indomalayan","terrestrial"
"646","East Deccan dry-evergreen forests","Indomalayan Tropical and Subtropical Dry Broadleaf Forests","Indomalayan","terrestrial"
"647","Eritrean coastal desert","Afrotropical Deserts and Xeric Shrublands","Afrotropical","terrestrial"
"648","Tonle Sap freshwater swamp forests","Indomalayan Tropical and Subtropical Moist Broadleaf Forests","Indomalayan","terrestrial"
"649","Mindoro rain forests","Indomalayan Tropical and Subtropical Moist Broadleaf Forests","Indomalayan","terrestrial"
"650","South Western Ghats montane rain forests","Indomalayan Tropical and Subtropical Moist Broadleaf Forests","Indomalayan","terrestrial"
"651","South Western Ghats moist deciduous forests","Indomalayan Tropical and Subtropical Moist Broadleaf Forests","Indomalayan","terrestrial"
"652","Socotra Island xeric shrublands","Afrotropical Deserts and Xeric Shrublands","Afrotropical","terrestrial"
"653","Southwest Borneo freshwater swamp forests","Indomalayan Tropical and Subtropical Moist Broadleaf Forests","Indomalayan","terrestrial"
"654","Mentawai Islands rain forests","Indomalayan Tropical and Subtropical Moist Broadleaf Forests","Indomalayan","terrestrial"
"655","Zambezian Cryptosepalum dry forests","Afrotropical Tropical and Subtropical Dry Broadleaf Forests","Afrotropical","terrestrial"
"656","Madagascar subhumid forests","Afrotropical Tropical and Subtropical Moist Broadleaf Forests","Afrotropical","terrestrial"
"657","Mandara Plateau mosaic","Afrotropical Tropical and Subtropical Grasslands, Savannas and Shrublands","Afrotropical","terrestrial"
"658","Sri Lanka dry-zone dry evergreen forests","Indomalayan Tropical and Subtropical Dry Broadleaf Forests","Indomalayan","terrestrial"
"659","Northern Congolian forest-savanna mosaic","Afrotropical Tropical and Subtropical Grasslands, Savannas and Shrublands","Afrotropical","terrestrial"
"660","Nigerian lowland forests","Afrotropical Tropical and Subtropical Moist Broadleaf Forests","Afrotropical","terrestrial"
"661","Northwestern Congolian lowland forests","Afrotropical Tropical and Subtropical Moist Broadleaf Forests","Afrotropical","terrestrial"
"662","Peninsular Malaysian montane rain forests","Indomalayan Tropical and Subtropical Moist Broadleaf Forests","Indomalayan","terrestrial"
"663","Mount Cameroon and Bioko montane forests","Afrotropical Tropical and Subtropical Moist Broadleaf Forests","Afrotropical","terrestrial"
"664","Northern Acacia-Commiphora bushlands and thickets","Afrotropical Tropical and Subtropical Grasslands, Savannas and Shrublands","Afrotropical","terrestrial"
"665","Southern New Guinea freshwater swamp forests","Australian Tropical and Subtropical Moist Broadleaf Forests","Australian","terrestrial"
"666","Western Java rain forests","Indomalayan Tropical and Subtropical Moist Broadleaf Forests","Indomalayan","terrestrial"
"667","Granitic Seychelles forests","Afrotropical Tropical and Subtropical Moist Broadleaf Forests","Afrotropical","terrestrial"
"668","Angolan scarp savanna and woodlands","Afrotropical Montane Grasslands and Shrublands","Afrotropical","terrestrial"
"669","Society Islands tropical moist forests","Oceanian Tropical and Subtropical Moist Broadleaf Forests","Oceanian","terrestrial"
"670","Eastern Zimbabwe montane forest-grassland mosaic","Afrotropical Montane Grasslands and Shrublands","Afrotropical","terrestrial"
"671","Etosha Pan halophytics","Afrotropical Flooded Grasslands and Savannas","Afrotropical","terrestrial"
"672","New Caledonia rain forests","Australian Tropical and Subtropical Moist Broadleaf Forests","Australian","terrestrial"
"673","Queensland tropical rain forests","Australian Tropical and Subtropical Moist Broadleaf Forests","Australian","terrestrial"
"674","Trobriand Islands rain forests","Australian Tropical and Subtropical Moist Broadleaf Forests","Australian","terrestrial"
"675","Lesser Sundas deciduous forests","Australian Tropical and Subtropical Dry Broadleaf Forests","Australian","terrestrial"
"676","Eastern Java-Bali rain forests","Indomalayan Tropical and Subtropical Moist Broadleaf Forests","Indomalayan","terrestrial"
"677","Christmas and Cocos Islands tropical forests","Indomalayan Tropical and Subtropical Moist Broadleaf Forests","Indomalayan","terrestrial"
"678","Zambezian and Mopane woodlands","Afrotropical Tropical and Subtropical Grasslands, Savannas and Shrublands","Afrotropical","terrestrial"
"679","Marquesas tropical moist forests","Oceanian Tropical and Subtropical Moist Broadleaf Forests","Oceanian","terrestrial"
"680","Sri Lanka lowland rain forests","Indomalayan Tropical and Subtropical Moist Broadleaf Forests","Indomalayan","terrestrial"
"681","Sri Lanka montane rain forests","Indomalayan Tropical and Subtropical Moist Broadleaf Forests","Indomalayan","terrestrial"
"682","Cross-Sanaga-Bioko coastal forests","Afrotropical Tropical and Subtropical Moist Broadleaf Forests","Afrotropical","terrestrial"
"683","Hobyo grasslands and shrublands","Afrotropical Deserts and Xeric Shrublands","Afrotropical","terrestrial"
"684","Cross-Niger transition forests","Afrotropical Tropical and Subtropical Moist Broadleaf Forests","Afrotropical","terrestrial"
"685","Kinabalu montane alpine meadows","Indomalayan Montane Grasslands and Shrublands","Indomalayan","terrestrial"
"686","Niger Delta swamp forests","Afrotropical Tropical and Subtropical Moist Broadleaf Forests","Afrotropical","terrestrial"
"687","Northeastern Congolian lowland forests","Afrotropical Tropical and Subtropical Moist Broadleaf Forests","Afrotropical","terrestrial"
"688","Central Range sub-alpine grasslands","Australian Montane Grasslands and Shrublands","Australian","terrestrial"
"689","Solomon Islands rain forests","Australian Tropical and Subtropical Moist Broadleaf Forests","Australian","terrestrial"
"690","Angolan montane forest-grassland mosaic","Afrotropical Montane Grasslands and Shrublands","Afrotropical","terrestrial"
"691","Borneo montane rain forests","Indomalayan Tropical and Subtropical Moist Broadleaf Forests","Indomalayan","terrestrial"
"692","Carpentaria tropical savanna","Australian Tropical and Subtropical Grasslands, Savannas and Shrublands","Australian","terrestrial"
"693","Southern Congolian forest-savanna mosaic","Afrotropical Tropical and Subtropical Grasslands, Savannas and Shrublands","Afrotropical","terrestrial"
"694","Madagascar lowland forests","Afrotropical Tropical and Subtropical Moist Broadleaf Forests","Afrotropical","terrestrial"
"695","North Island temperate forests","Australian Temperate Broadleaf & Mixed Forests","Australian","terrestrial"
"696","South Island montane grasslands","Australian Montane Grasslands and Shrublands","Australian","terrestrial"
"697","South Island temperate forests","Australian Temperate Broadleaf & Mixed Forests","Australian","terrestrial"
"698","Tirari-Sturt stony desert","Australian Deserts and Xeric Shrublands","Australian","terrestrial"
"699","Atlantic Equatorial coastal forests","Afrotropical Tropical and Subtropical Moist Broadleaf Forests","Afrotropical","terrestrial"
"700","Rwenzori-Virunga montane moorlands","Afrotropical Montane Grasslands and Shrublands","Afrotropical","terrestrial"
"701","Cook Islands tropical moist forests","Oceanian Tropical and Subtropical Moist Broadleaf Forests","Oceanian","terrestrial"
"702","Mascarene forests","Afrotropical Tropical and Subtropical Moist Broadleaf Forests","Afrotropical","terrestrial"
"703","Western Java montane rain forests","Indomalayan Tropical and Subtropical Moist Broadleaf Forests","Indomalayan","terrestrial"
"704","Kimberly tropical savanna","Australian Tropical and Subtropical Grasslands, Savannas and Shrublands","Australian","terrestrial"
"705","Tasmanian temperate rain forests","Australian Temperate Broadleaf & Mixed Forests","Australian","terrestrial"
"706","Fiordland temperate forests","Australian Temperate Broadleaf & Mixed Forests","Australian","terrestrial"
"707","Southern Indian Ocean Islands tundra","Antarctic Tundra","Antarctic","terrestrial"
"708","Rakiura Island temperate forests","Australian Temperate Broadleaf & Mixed Forests","Australian","terrestrial"
"709","St. Peter and St. Paul rocks","Neotropical Deserts and Xeric Shrublands","Neotropical","terrestrial"
"710","Clipperton Island shrub and grasslands","Neotropical Tropical and Subtropical Grasslands, Savannas and Shrublands","Neotropical","terrestrial"
"711","Albertine Rift montane forests","Afrotropical Tropical and Subtropical Moist Broadleaf Forests","Afrotropical","terrestrial"
"712","Eastern Congolian swamp forests","Afrotropical Tropical and Subtropical Moist Broadleaf Forests","Afrotropical","terrestrial"
"713","Vogelkop montane rain forests","Australian Tropical and Subtropical Moist Broadleaf Forests","Australian","terrestrial"
"714","Buru rain forests","Australian Tropical and Subtropical Moist Broadleaf Forests","Australian","terrestrial"
"715","New Britain-New Ireland montane rain forests","Australian Tropical and Subtropical Moist Broadleaf Forests","Australian","terrestrial"
"716","Seram rain forests","Australian Tropical and Subtropical Moist Broadleaf Forests","Australian","terrestrial"
"717","Samoan tropical moist forests","Oceanian Tropical and Subtropical Moist Broadleaf Forests","Oceanian","terrestrial"
"718","Central Ranges xeric scrub","Australian Deserts and Xeric Shrublands","Australian","terrestrial"
"719","Zambezian coastal flooded savanna","Afrotropical Flooded Grasslands and Savannas","Afrotropical","terrestrial"
"720","Madagascar spiny thickets","Afrotropical Deserts and Xeric Shrublands","Afrotropical","terrestrial"
"721","Brigalow tropical savanna","Australian Tropical and Subtropical Grasslands, Savannas and Shrublands","Australian","terrestrial"
"722","Ile Europa and Bassas da India xeric scrub","Afrotropical Deserts and Xeric Shrublands","Afrotropical","terrestrial"
"723","Maputaland-Pondoland bushland and thickets","Afrotropical Montane Grasslands and Shrublands","Afrotropical","terrestrial"
"724","Central Congolian lowland forests","Afrotropical Tropical and Subtropical Moist Broadleaf Forests","Afrotropical","terrestrial"
"725","East African montane moorlands","Afrotropical Montane Grasslands and Shrublands","Afrotropical","terrestrial"
"726","Albany thickets","Afrotropical Mediterranean Forests, Woodlands and Scrub","Afrotropical","terrestrial"
"727","Montane fynbos and renosterveld","Afrotropical Mediterranean Forests, Woodlands and Scrub","Afrotropical","terrestrial"
"728","Lowland fynbos and renosterveld","Afrotropical Mediterranean Forests, Woodlands and Scrub","Afrotropical","terrestrial"
"729","Mount Lofty woodlands","Australian Mediterranean Forests, Woodlands and Scrub","Australian","terrestrial"
"730","Madagascar ericoid thickets","Afrotropical Montane Grasslands and Shrublands","Afrotropical","terrestrial"
"731","Tubuai tropical moist forests","Oceanian Tropical and Subtropical Moist Broadleaf Forests","Oceanian","terrestrial"
"732","Zambezian halophytics","Afrotropical Flooded Grasslands and Savannas","Afrotropical","terrestrial"
"733","Western Australian Mulga shrublands","Australian Deserts and Xeric Shrublands","Australian","terrestrial"
"734","Drakensberg montane grasslands, woodlands and forests","Afrotropical Montane Grasslands and Shrublands","Afrotropical","terrestrial"
"735","Biak-Numfoor rain forests","Australian Tropical and Subtropical Moist Broadleaf Forests","Australian","terrestrial"
"736","Southern New Guinea lowland rain forests","Australian Tropical and Subtropical Moist Broadleaf Forests","Australian","terrestrial"
"737","Namib desert","Afrotropical Deserts and Xeric Shrublands","Afrotropical","terrestrial"
"738","Eastern Arc forests","Afrotropical Tropical and Subtropical Moist Broadleaf Forests","Afrotropical","terrestrial"
"739","Zambezian Baikiaea woodlands","Afrotropical Tropical and Subtropical Grasslands, Savannas and Shrublands","Afrotropical","terrestrial"
"740","Chatham Island temperate forests","Australian Temperate Broadleaf & Mixed Forests","Australian","terrestrial"
"741","Cantebury-Otago tussock grasslands","Australian Temperate Grasslands, Savannas and Shrublands","Australian","terrestrial"
"742","Knysna-Amatole montane forests","Afrotropical Tropical and Subtropical Moist Broadleaf Forests","Afrotropical","terrestrial"
"743","Succulent Karoo","Afrotropical Deserts and Xeric Shrublands","Afrotropical","terrestrial"
"744","Esperance mallee","Australian Mediterranean Forests, Woodlands and Scrub","Australian","terrestrial"
"745","Westland temperate forests","Australian Temperate Broadleaf & Mixed Forests","Australian","terrestrial"
"746","Serengeti volcanic grasslands","Afrotropical Tropical and Subtropical Grasslands, Savannas and Shrublands","Afrotropical","terrestrial"
"747","Northern New Guinea montane rain forests","Australian Tropical and Subtropical Moist Broadleaf Forests","Australian","terrestrial"
"748","Central Range montane rain forests","Australian Tropical and Subtropical Moist Broadleaf Forests","Australian","terrestrial"
"749","Eastern Java-Bali montane rain forests","Indomalayan Tropical and Subtropical Moist Broadleaf Forests","Indomalayan","terrestrial"
"750","Kalahari Acacia-Baikiaea woodlands","Afrotropical Tropical and Subtropical Grasslands, Savannas and Shrublands","Afrotropical","terrestrial"
"751","Marielandia Antarctic tundra","Antarctic Tundra","Antarctic","terrestrial"
"752","Maudlandia Antarctic desert","Antarctic Tundra","Antarctic","terrestrial"
"753","Huon Peninsula montane rain forests","Australian Tropical and Subtropical Moist Broadleaf Forests","Australian","terrestrial"
"754","Eastern Miombo woodlands","Afrotropical Tropical and Subtropical Grasslands, Savannas and Shrublands","Afrotropical","terrestrial"
"755","Angolan Miombo woodlands","Afrotropical Tropical and Subtropical Grasslands, Savannas and Shrublands","Afrotropical","terrestrial"
"756","Trans Fly savanna and grasslands","Australian Tropical and Subtropical Grasslands, Savannas and Shrublands","Australian","terrestrial"
"757","Ascension scrub and grasslands","Afrotropical Tropical and Subtropical Grasslands, Savannas and Shrublands","Afrotropical","terrestrial"
"758","Sumba deciduous forests","Australian Tropical and Subtropical Dry Broadleaf Forests","Australian","terrestrial"
"759","Aldabra Island xeric scrub","Afrotropical Deserts and Xeric Shrublands","Afrotropical","terrestrial"
"760","Lake","Afrotropical Lake","Afrotropical","terrestrial"
"761","Southern Miombo woodlands","Afrotropical Tropical and Subtropical Grasslands, Savannas and Shrublands","Afrotropical","terrestrial"
"762","Kaokoveld desert","Afrotropical Deserts and Xeric Shrublands","Afrotropical","terrestrial"
"763","Namibian savanna woodlands","Afrotropical Deserts and Xeric Shrublands","Afrotropical","terrestrial"
"764","Victoria Plains tropical savanna","Australian Tropical and Subtropical Grasslands, Savannas and Shrublands","Australian","terrestrial"
"765","Angolan Mopane woodlands","Afrotropical Tropical and Subtropical Grasslands, Savannas and Shrublands","Afrotropical","terrestrial"
"766","South Malawi montane forest-grassland mosaic","Afrotropical Montane Grasslands and Shrublands","Afrotropical","terrestrial"
"767","Einasleigh upland savanna","Australian Tropical and Subtropical Grasslands, Savannas and Shrublands","Australian","terrestrial"
"768","St. Helena scrub and woodlands","Afrotropical Tropical and Subtropical Grasslands, Savannas and Shrublands","Afrotropical","terrestrial"
"769","Mitchell grass downs","Australian Tropical and Subtropical Grasslands, Savannas and Shrublands","Australian","terrestrial"
"770","Great Sandy-Tanami desert","Australian Deserts and Xeric Shrublands","Australian","terrestrial"
"771","Murray-Darling woodlands and mallee","Australian Mediterranean Forests, Woodlands and Scrub","Australian","terrestrial"
"772","Southwest Australia woodlands","Australian Mediterranean Forests, Woodlands and Scrub","Australian","terrestrial"
"773","Lord Howe Island subtropical forests","Australian Tropical and Subtropical Moist Broadleaf Forests","Australian","terrestrial"
"774","Tasmanian temperate forests","Australian Temperate Broadleaf & Mixed Forests","Australian","terrestrial"
"775","Scotia Sea Islands tundra","Antarctic Tundra","Antarctic","terrestrial"
"776","Southern Africa bushveld","Afrotropical Tropical and Subtropical Grasslands, Savannas and Shrublands","Afrotropical","terrestrial"
